131,COACT06_Sch_Dist,School ACT report,Education,School performance,2006,School,State,CDE,PDF spreadsheet,G:\Source Data\CDE\ACT
132,COACT06_Sch_Dist,School ACT report,Education,School performance,2006,School,State,CDE,Excel,G:\Source Data\CDE\ACT
133,COACT07_DS,School ACT report,Education,School performance,2007,School,State,CDE,PDF spreadsheet,G:\Source Data\CDE\ACT
134,COACT07_DS,School ACT report,Education,School performance,2007,School,State,CDE,Excel,G:\Source Data\CDE\ACT
135,COACT08_DS,School ACT report,Education,School performance,2008,School,State,CDE,Excel,G:\Source Data\CDE\ACT
136,Colorado ACT 2004,School ACT report,Education,School performance,2004,School,State,CDE,Excel,G:\Source Data\CDE\ACT
137,Colorado_ACT_Schdist_2004,School ACT report,Education,School performance,2004,School,State,CDE,PDF spreadsheet,G:\Source Data\CDE\ACT
138,Colorado_ACT_Schdist_2004,School ACT report,Education,School performance,2004,School,State,CDE,Excel,G:\Source Data\CDE\ACT
139,data02,School ACT report,Education,School performance,2001-2002,School,State,CDE,Excel,G:\Source Data\CDE\ACT
140,Denver ACT 03-04 - 2 for Maps,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,DBF,G:\Source Data\CDE\ACT\Not Source
141,Denver ACT 03-04 - 2 for Maps,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,IND,G:\Source Data\CDE\ACT\Not Source
142,Denver ACT 03-04 - 2 for Maps,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,SAV,G:\Source Data\CDE\ACT\Not Source
143,Denver ACT 03-04 - 2 for Maps,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,TAB,G:\Source Data\CDE\ACT\Not Source
144,Denver ACT 03-04 - 2,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,SAV,G:\Source Data\CDE\ACT\Not Source
145,Denver ACT 03-04 - 2,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,TXT,G:\Source Data\CDE\ACT\Not Source
146,Denver ACT 03-04 - 2,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,Excel,G:\Source Data\CDE\ACT\Not Source
147,Denver ACT 03-04,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,SAV,G:\Source Data\CDE\ACT\Not Source
